name,rating,reviews,avg_salary,description
Ujjivan Small Finance Bank,4.0,7.6k,13.2k,Banking | Bengaluru +541 other locations
Jana Small Finance Bank,3.7,7.6k,14.6k,Banking | Bengaluru +422 other locations
Sun Pharmaceutical Industries,4.1,7.6k,23.2k,Pharma | Vadodara +263 other locations
HGS,3.7,7.5k,20.5k,Emerging Technologies | Bengaluru +122 other locations
Amazon Development Centre India,3.8,7.5k,39.4k,Internet | Hyderabad +147 other locations
Zydus Lifesciences,4.0,7.4k,20.1k,Pharma | Ahmedabad +180 other locations
Ekart Logistics,3.9,7.4k,16.8k,Logistics | Bengaluru +739 other locations
Lupin,4.1,7.3k,22.5k,Pharma | Pune +203 other locations
KPMG India,3.4,7.3k,68k,Management Consulting | Bengaluru +112 other locations
L&T Construction,4.0,7.3k,19.2k,Engineering & Construction | Chennai +435 other locations
Hindustan Unilever,4.2,7.2k,20.3k,FMCG | Mumbai +543 other locations
Axis Max Life Insurance,4.0,7.2k,20.4k,Insurance | New Delhi +505 other locations
ITC,3.9,7.1k,25k,FMCG | Bengaluru +378 other locations
Megha Engineering & Infrastructures,3.9,6.9k,18.8k,Engineering & Construction | Hyderabad +407 other locations
Coforge,3.3,6.8k,50.9k,IT Services & Consulting | Noida +103 other locations
Tata Projects,4.2,6.8k,22.7k,Engineering & Construction | Mumbai +285 other locations
Bajaj Life Insurance,3.8,6.6k,17.9k,Insurance | Pune +616 other locations
Cholamandalam Investment & Finance,3.8,6.6k,13.2k,Financial Services | Chennai +862 other locations
L&T Technology Services,3.1,6.6k,44.4k,IT Services & Consulting | Bengaluru +94 other locations
FIS,3.8,6.6k,39.3k,FinTech | Pune +59 other locations
Oracle,3.4,6.5k,64.6k,Software Product | Bengaluru +56 other locations
Omega Healthcare,3.8,6.4k,27.6k,BPO | Chennai +69 other locations
JLL,4.1,6.4k,25k,Real Estate | Gurugram +86 other locations
Muthoot Finance,3.7,6.3k,13.2k,NBFC | Bengaluru +791 other locations
IIFL Finance,4.0,6.3k,14k,NBFC | Mumbai +809 other locations
eClerx,3.1,6.3k,32.9k,IT Services & Consulting | Pune +32 other locations
Indian Army,4.7,6.2k,9.4k,Defence & Aerospace | New Delhi +360 other locations
Virtusa Consulting Services,3.7,6.1k,57.4k,IT Services & Consulting | Hyderabad +55 other locations
DMart,3.9,6.1k,19.2k,Retail | Mumbai +254 other locations
HCL Group,3.5,6.1k,39.2k,IT Services & Consulting | Chennai +96 other locations
PolicyBazaar,3.8,6k,17.9k,Internet | Gurugram +154 other locations
HSBC Group,3.8,6k,44.4k,Financial Services | Bengaluru +63 other locations
Piramal Finance,4.2,6k,12.5k,NBFC | Mumbai +427 other locations
Indiamart Intermesh,3.5,6k,21.8k,Internet | Noida +169 other locations
SMFG India Credit,3.9,5.9k,11.3k,NBFC | Mumbai +603 other locations
Access Healthcare,3.7,5.9k,29.3k,BPO | Chennai +62 other locations
BigBasket,3.9,5.8k,19.7k,Internet | Bengaluru +143 other locations
