name,rating,reviews,avg_salary,description
Foxconn,3.8,2.6k,11.4k,Electronics Manufacturing | Chennai +64 other locations
Ajanta Pharma,3.9,2.6k,8.9k,Pharma | Mumbai +117 other locations
Voltas,4.0,2.6k,8.6k,Consumer Electronics & Appliances | Mumbai +202 other locations
Blue Star,4.1,2.6k,9.9k,Consumer Electronics & Appliances | Mumbai +147 other locations
Sonalika Tractors,3.5,2.6k,9.1k,Automobile | Hoshiarpur +195 other locations
Care Health Insurance,3.5,2.6k,8.8k,Insurance | Gurugram +250 other locations
Movate,3.1,2.6k,15.2k,IT Services & Consulting | Chennai +38 other locations
Gallagher,3.6,2.6k,14.6k,Insurance | Bengaluru +29 other locations
BlackBuck,3.7,2.6k,6.7k,Internet | Bengaluru +362 other locations
Photon Interactive,4.1,2.6k,7.6k,IT Services & Consulting | Chennai +19 other locations
NoBroker,3.0,2.6k,10.9k,Internet | Bengaluru +46 other locations
Tata Advanced Systems,3.7,2.6k,13k,Defence & Aerospace | Bengaluru +57 other locations
DBS Bank,3.7,2.6k,13.4k,Banking | Hyderabad +179 other locations
ACT Fibernet,3.8,2.6k,7.8k,Telecom | Hyderabad +57 other locations
Domino's Pizza,3.9,2.6k,4.2k,Hospitality | New Delhi +252 other locations
Adani Power,3.7,2.6k,10.1k,Power | Mundra +129 other locations
Fortis Healthcare,4.0,2.6k,7.7k,Healthcare | New Delhi +69 other locations
Foundever,3.4,2.6k,9k,BPO | Hyderabad +21 other locations
Himalaya Wellness,3.9,2.6k,6.1k,Pharma | Bengaluru +243 other locations
IntouchCX,2.7,2.6k,10.3k,BPO | Hyderabad +22 other locations
BT Group,3.8,2.6k,11.9k,Telecom | Gurugram +25 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,2.5k,3.6k,Healthcare | Hyderabad +46 other locations
Laurus Labs,4.3,2.5k,7.3k,Pharma | Visakhapatnam +34 other locations
Alldigi Tech,3.9,2.5k,7.6k,BPO | Chennai +36 other locations
V-Mart,4.0,2.5k,4.4k,Retail | Gurugram +286 other locations
Sterlite Technologies,3.8,2.5k,10.1k,Hardware & Networking | Chhatrapati Sambhajinagar +100 other locations
JCB,3.9,2.5k,9.8k,Industrial Machinery | Pune +111 other locations
Northern Trust Operating Services,3.6,2.5k,17.6k,Financial Services | Bengaluru +27 other locations
Bajaj Electricals,4.0,2.5k,7.3k,Consumer Electronics & Appliances | Mumbai +233 other locations
Tractors and Farm Equipment,3.9,2.5k,8.4k,Industrial Machinery | Chennai +191 other locations
Sammaan Capital Limited,3.7,2.5k,5.8k,NBFC | Gurugram +199 other locations
Parle Agro,3.9,2.5k,6.8k,Beverage | Mumbai +259 other locations
Planet Spark,3.8,2.5k,3.7k,EdTech | Gurugram +59 other locations
ICICI Securities,3.9,2.4k,9.7k,Financial Services | Mumbai +151 other locations
Biocon Limited,4.0,2.4k,11.6k,Biotechnology | Bengaluru +65 other locations
CorroHealth Infotech,3.6,2.4k,7.7k,Analytics & KPO | Hyderabad +38 other locations
Emcure Pharmaceuticals,3.7,2.4k,8.5k,Pharma | Pune +119 other locations
McDonald's,3.9,2.4k,5.1k,Hospitality | New Delhi +151 other locations
Adani Group,3.8,2.4k,11.2k,Power | Ahmedabad +196 other locations
Hero FinCorp,3.9,2.4k,5.8k,NBFC | New Delhi +395 other locations
Paras Hospital,4.1,2.4k,3.2k,Healthcare | Patna +60 other locations
Intellect Design Arena,3.6,2.4k,13.8k,Software Product | Chennai +40 other locations
Datamatics Global Services,3.3,2.4k,11.8k,IT Services & Consulting | Mumbai +37 other locations
Patanjali Ayurved,3.9,2.4k,5.7k,FMCG | Haridwar +296 other locations
Mahindra Rural Housing Finance,4.0,2.4k,4.8k,NBFC | Mumbai +469 other locations
Mahindra Holidays & Resorts,3.5,2.4k,5.8k,Hospitality | Mumbai +113 other locations
Statestreet HCL Services,3.4,2.4k,13.2k,BPO | Chennai +18 other locations
TaskUs,3.0,2.4k,9.9k,BPO | Indore +36 other locations
Cadila Pharmaceuticals,3.2,2.4k,8.1k,Pharma | Ahmedabad +134 other locations
3i Infotech,3.4,2.4k,10.7k,IT Services & Consulting | Mumbai +131 other locations
Syngene International,3.8,2.4k,12.7k,Clinical Research | Bengaluru +22 other locations
Taj Hotels Resorts and Palaces,4.2,2.4k,4.9k,Hospitality | Mumbai +110 other locations
Aditya Birla Group,4.1,2.4k,10.1k,Metals & Mining | Mumbai +271 other locations
Capgemini Engineering,3.3,2.4k,13.8k,IT Services & Consulting | Bengaluru +28 other locations
Cholamandalam MS General Insurance,3.7,2.4k,6k,Insurance | Chennai +392 other locations
Axis Direct,3.6,2.4k,4.6k,Financial Services | Mumbai +270 other locations
Info Edge,3.9,2.4k,11.4k,Internet | Noida +70 other locations
Bureau Veritas,3.8,2.4k,8.2k,Other | Mumbai +150 other locations
Delhi Public School,3.7,2.4k,5.3k,Education & Training | New Delhi +278 other locations
RMSI,3.5,2.3k,8.9k,IT Services & Consulting | Hyderabad +24 other locations
KocharTech,3.6,2.3k,3.8k,IT Services & Consulting | Kolkata +25 other locations
Cybage,3.8,2.3k,17.1k,IT Services & Consulting | Pune +15 other locations
Aavas Financiers,3.9,2.3k,5.9k,NBFC | Jaipur +294 other locations
GAO Tek,4.4,2.3k,264,Electrical Equipment | New York +44 other locations
Xoriant,4.0,2.3k,11.7k,IT Services & Consulting | Pune +23 other locations
Straive,3.3,2.3k,10.5k,IT Services & Consulting | Chennai +32 other locations
Sopra Steria,3.9,2.3k,14.1k,IT Services & Consulting | Noida +19 other locations
Kia India,3.9,2.3k,8.3k,Automobile | Anantapur +190 other locations
Newgen Software Technologies,4.1,2.3k,11.7k,IT Services & Consulting | Noida +32 other locations
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,6.3k,Pharma | Haridwar +40 other locations
Lodha,4.2,2.3k,8.8k,Real Estate | Mumbai +29 other locations
Apollo Pharmacy,3.7,2.3k,6.9k,Pharma | Hyderabad +288 other locations
Lifestyle,4.2,2.3k,6.8k,Retail | Bengaluru +129 other locations
GVK Emergency Management and Research Institute,3.6,2.3k,4.6k,Non-Profit | Lucknow +214 other locations
Eureka Forbes,3.6,2.3k,5.6k,Consumer Electronics & Appliances | Mumbai +185 other locations
Sobha,3.8,2.3k,8.4k,Real Estate | Bengaluru +39 other locations
TCE,3.8,2.3k,9.7k,Engineering & Construction | Mumbai +132 other locations
SBI Securities,3.6,2.3k,6.8k,Financial Services | Mumbai +319 other locations
Bharat Petroleum,4.2,2.3k,7.4k,Oil & Gas | Mumbai +262 other locations
Team Computers,3.6,2.3k,8.7k,IT Services & Consulting | New Delhi +106 other locations
Unacademy,2.9,2.3k,10.2k,EdTech | Bengaluru +73 other locations
Endurance Technologies Limited,4.0,2.3k,7.9k,Auto Components | Chhatrapati Sambhajinagar +51 other locations
Radisson Hotels,4.0,2.2k,5.1k,Hospitality | New Delhi +129 other locations
Myntra,3.8,2.2k,10.7k,Internet | Bengaluru +101 other locations
Panasonic Life Solutions India,3.9,2.2k,6.7k,Consumer Electronics & Appliances | Mumbai +168 other locations
Star Union Dai-ichi Life Insurance,3.8,2.2k,5.3k,Insurance | Mumbai +324 other locations
Daikin Airconditioning India Pvt. Ltd.,4.1,2.2k,8k,Consumer Electronics & Appliances | Neemrana +108 other locations
AWL Agri Business,4.1,2.2k,6.9k,FMCG | Ahmedabad +204 other locations
BNP Paribas,3.7,2.2k,18.8k,Banking | Mumbai +27 other locations
Bharti AXA Life Insurance,3.6,2.2k,5k,Insurance | Mumbai +244 other locations
Cisco,4.1,2.2k,19k,Hardware & Networking | Bengaluru +46 other locations
SBI General Insurance,3.6,2.2k,6.6k,Insurance | Mumbai +293 other locations
Lava International,3.9,2.2k,4.3k,Consumer Electronics & Appliances | Noida +222 other locations
Renault Nissan Technology & Business Centre India,3.7,2.2k,15k,Automobile | Chennai +21 other locations
Whirlpool,4.0,2.2k,7.8k,Consumer Electronics & Appliances | Pune +171 other locations
Coromandel International,4.1,2.2k,7.7k,Agro Chemicals | Visakhapatnam +185 other locations
Allstate,3.7,2.2k,12.3k,Insurance | Pune +17 other locations
ValueLabs,3.5,2.2k,16.2k,IT Services & Consulting | Hyderabad +20 other locations
GlaxoSmithKline Pharmaceuticals,4.0,2.2k,5.9k,Pharma | Bengaluru +215 other locations
Indian Railways,4.2,2.2k,3.5k,Railways | Kolkata +250 other locations
Sify Technologies,3.6,2.2k,10k,IT Services & Consulting | Chennai +135 other locations
Ambuja Cements,3.8,2.2k,6.1k,Building Material | Mumbai +258 other locations
Shahi Exports,3.9,2.2k,6.9k,Fashion & Textile | Bengaluru +71 other locations
Meesho,3.7,2.2k,9.7k,Internet | Bengaluru +131 other locations
Nokia Networks,4.1,2.2k,10.4k,Hardware & Networking | Chennai +86 other locations
Bank of Baroda,3.5,2.1k,7k,Banking | Mumbai +299 other locations
Mercedes-Benz Research and Development India,3.6,2.1k,18.1k,IT Services & Consulting | Bengaluru +52 other locations
Henry Harvin Education,3.9,2.1k,938,EdTech | Noida +34 other locations
Microsoft Corporation,3.8,2.1k,30.9k,Software Product | Bengaluru +46 other locations
Brakes India,3.9,2.1k,7.2k,Auto Components | Chennai +99 other locations
JK Tyre,3.8,2.1k,6.9k,Auto Components | Chennai +148 other locations
Life Insurance Corporation of India,4.4,2.1k,4.5k,Insurance | New Delhi +474 other locations
Generali Central Life Insurance,3.5,2.1k,6.8k,Insurance | Mumbai +205 other locations
Poonawalla Fincorp,3.5,2.1k,6k,NBFC | Pune +262 other locations
Spark Minda,3.8,2.1k,7.3k,Auto Components | Pune +75 other locations
upGrad,3.4,2.1k,9.4k,EdTech | Bengaluru +51 other locations
Cargill,3.9,2.1k,8.6k,Food Processing | Bengaluru +122 other locations
CAMS,3.6,2.1k,8.8k,Financial Services | Chennai +109 other locations
Saint-Gobain,3.8,2.1k,11.8k,Building Material | Mumbai +104 other locations
Jio Platforms,3.4,2.1k,14.7k,IT Services & Consulting | Mumbai +105 other locations
FirstCry,3.5,2.1k,8.9k,Retail | Pune +212 other locations
Manipal Hospitals,4.0,2.1k,7.1k,Healthcare | Bengaluru +66 other locations
BHEL,4.2,2.1k,5.4k,Electrical Equipment | Bengaluru +131 other locations
Power Mech Projects,3.8,2.1k,6.8k,Engineering & Construction | Hyderabad +152 other locations
Kotak Securities,3.5,2.1k,9.6k,Financial Services | Mumbai +142 other locations
Nuvoco Vistas,4.1,2.1k,7.2k,Building Material | Kolkata +201 other locations
NTT DATA Business Solutions,4.1,2.1k,13k,IT Services & Consulting | Bengaluru +32 other locations
Pfizer,3.9,2.1k,5.9k,Pharma | Visakhapatnam +133 other locations
Huawei Technologies,4.1,2.1k,7.9k,Telecom | Bengaluru +104 other locations
Force Motors,3.7,2.1k,8.3k,Automobile | Pune +106 other locations
Infinite Computer Solutions,3.3,2.1k,15.5k,IT Services & Consulting | Bengaluru +36 other locations
Simplex Infrastructures,3.4,2.1k,4.4k,Engineering & Construction | Kolkata +138 other locations
"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,6.8k,Automobile | Ahmedabad +107 other locations
CitiusTech,3.1,2.1k,14.6k,IT Services & Consulting | Mumbai +17 other locations
Reliance Trends,4.1,2.1k,4.1k,Retail | Bengaluru +395 other locations
Raymond Lifestyle Limited,4.2,2.1k,6.3k,Fashion & Textile | Mumbai +150 other locations
ITC Hotels,4.1,2.1k,5.4k,Hospitality | Bengaluru +94 other locations
IndusInd General Insurance,3.6,2.1k,7.2k,Insurance | Mumbai +195 other locations
Biological E,4.2,2.1k,7.1k,Pharma | Hyderabad +73 other locations
Ola Cabs,3.3,2k,9k,Internet | Bengaluru +112 other locations
Delphi TVS,3.8,2k,5.6k,Auto Components | Chennai +61 other locations
Morgan Stanley,3.6,2k,27.3k,Financial Services | Mumbai +19 other locations
Renault-Nissan,4.1,2k,7.5k,Automobile | Chennai +85 other locations
SGS,3.8,2k,6.5k,Engineering & Construction | Mumbai +146 other locations
Extramarks Education,3.3,2k,7.4k,EdTech | Noida +111 other locations
EPAM Systems,3.7,2k,23.6k,IT Services & Consulting | Hyderabad +36 other locations
K12 Techno Services,3.7,2k,5.3k,EdTech | Bengaluru +43 other locations
YASH Technologies,3.7,2k,16.3k,IT Services & Consulting | Hyderabad +31 other locations
Aditya Birla Health Insurance Co,3.7,2k,7.4k,Insurance | Mumbai +255 other locations
Senco Gold,4.4,2k,1.5k,Jewellery | Kolkata +82 other locations
Novartis,4.1,2k,10.3k,Pharma | Hyderabad +75 other locations
IDBI Bank,3.3,2k,6.2k,Banking | Mumbai +336 other locations
Narayana Health,4.0,2k,6.1k,Healthcare | Bengaluru +63 other locations
HSBC Electronic Data Processing,4.0,2k,8.5k,IT Services & Consulting | Bengaluru +19 other locations
SAP,4.1,2k,18.1k,Software Product | Bengaluru +53 other locations
Ninjacart,3.8,2k,5.1k,Internet | Bengaluru +113 other locations
Shadowfax Technologies,3.5,2k,7.6k,Logistics | Bengaluru +245 other locations
AECOM,4.2,2k,7.1k,Engineering & Construction | Gurugram +123 other locations
Trent,3.8,2k,5k,Retail | Mumbai +149 other locations
State Street Syntel,3.7,2k,6.7k,Financial Services | Pune +21 other locations
Schindler,3.9,2k,6.2k,Industrial Machinery | Pune +90 other locations
L&T Energy Hydrocarbon,3.8,2k,8.4k,Engineering & Construction | Vadodara +88 other locations
Honeywell Automation,3.8,2k,12.4k,Industrial Automation | Pune +78 other locations
R.R. Donnelley,3.6,2k,10.2k,Marketing & Advertising | Chennai +26 other locations
Haier Appliances India,4.0,2k,7.1k,Consumer Electronics & Appliances | Pune +164 other locations
NCR Voyix,3.4,2k,9.5k,IT Services & Consulting | Hyderabad +89 other locations
Paisabazaar.com,3.4,1.9k,7.1k,Internet | Gurugram +35 other locations
Motherson Automotive Technologies and Engineering,3.7,1.9k,7.7k,Auto Components | Chennai +66 other locations
V-Guard Industries,4.3,1.9k,4.6k,Consumer Electronics & Appliances | Kochi +170 other locations
Dr Lal PathLabs,4.2,1.9k,4.5k,Healthcare | New Delhi +200 other locations
Microland,3.5,1.9k,10.7k,IT Services & Consulting | Bengaluru +46 other locations
Philips,3.8,1.9k,11.1k,Medical Equipment | Bengaluru +97 other locations
Uflex,3.8,1.9k,6.8k,Packaging | Noida +47 other locations
CMS Infosystems,3.5,1.9k,4.8k,Software Product | Mumbai +222 other locations
Globiva,3.0,1.9k,5.3k,BPO | Gurugram +30 other locations
Crisil,3.5,1.9k,13.6k,Analytics & KPO | Mumbai +81 other locations
Spinny,3.6,1.9k,7.7k,Internet | Gurugram +62 other locations
Gabriel India Limited,4.1,1.9k,5.8k,Auto Components | Pune +52 other locations
CNH (Case New Holland),3.7,1.9k,6.1k,Industrial Machinery | Gurugram +137 other locations
Parle Products,3.9,1.9k,3.5k,FMCG | Mumbai +248 other locations
Adecco Group,3.8,1.9k,7.3k,Recruitment | Bengaluru +181 other locations
Aye Finance,4.1,1.9k,3.5k,NBFC | Gurugram +372 other locations
HTC Global Services,3.4,1.9k,13.4k,IT Services & Consulting | Chennai +32 other locations
Aadhar Housing Finance,4.0,1.9k,5.1k,NBFC | Mumbai +328 other locations
Angel One,3.6,1.9k,7.7k,FinTech | Mumbai +133 other locations
DHL Supply Chain,4.2,1.9k,6.1k,Logistics | Mumbai +100 other locations
G R Infraprojects,4.1,1.9k,5.4k,Engineering & Construction | Gurugram +158 other locations
Lucas-TVS,3.9,1.9k,6.1k,Auto Components | Chennai +78 other locations
Google,4.4,1.9k,34.6k,Software Product | Bengaluru +86 other locations
Tekwissen,4.9,1.9k,590,IT Services & Consulting | Visakhapatnam +5 other locations
TELUS Digital,3.5,1.9k,10.2k,IT Services & Consulting | Noida +27 other locations
Thomson Reuters,3.7,1.9k,10.9k,Software Product | Bengaluru +27 other locations
Safexpress,3.9,1.9k,5.9k,Logistics | New Delhi +158 other locations
NTPC,4.2,1.9k,4.3k,Power | New Delhi +124 other locations
Iris Software,3.8,1.9k,8k,IT Services & Consulting | Noida +23 other locations
Infinx,3.7,1.9k,5.5k,Software Product | Hyderabad +35 other locations
Tata Power,3.9,1.9k,7.4k,Power | Mumbai +153 other locations
ICICI Home Finance,3.7,1.9k,5.3k,Financial Services | Mumbai +220 other locations
Trident Group,3.2,1.9k,5.4k,Fashion & Textile | Barnala +58 other locations
Verizon,3.5,1.9k,11.9k,Telecom | Hyderabad +12 other locations
NeoSOFT,3.3,1.9k,10.8k,IT Services & Consulting | Mumbai +24 other locations
CSB Bank,3.2,1.9k,6.9k,Banking | Mumbai +235 other locations
PI Industries,3.8,1.9k,6.9k,Agro Chemicals | Vadodara +107 other locations
Torrent Power,3.8,1.9k,7.8k,Power | Ahmedabad +61 other locations
Tata Tele Business Services,3.5,1.9k,4.5k,Telecom | Mumbai +136 other locations
Jindal Saw,4.1,1.9k,6.6k,Iron & Steel | Mundra +77 other locations
Hindustan Aeronautics,4.3,1.9k,4.4k,Defence & Aerospace | Bengaluru +64 other locations
Polycab Wires,4.0,1.9k,7.3k,Electrical Equipment | Vadodara +167 other locations
TVS Sundram Fasteners,3.6,1.9k,6.6k,Auto Components | Chennai +64 other locations
Aragen Life Sciences,3.9,1.8k,6.6k,Clinical Research | Hyderabad +29 other locations
KENT RO Systems,3.7,1.8k,4.3k,Consumer Electronics & Appliances | Noida +152 other locations
First American (India),3.5,1.8k,9.5k,Insurance | Bengaluru +22 other locations
Medi Assist India,3.5,1.8k,7.4k,Insurance | Bengaluru +66 other locations
AXA Global Business Services,3.7,1.8k,7.2k,IT Services & Consulting | Pune +11 other locations
Godrej Properties,3.7,1.8k,9.2k,Real Estate | Mumbai +34 other locations
Infra.Market,3.9,1.8k,3.8k,Building Material | Mumbai +132 other locations
Provana,4.0,1.8k,4.3k,BPO | Noida +11 other locations
Fusion CX,3.3,1.8k,4.5k,BPO | Kolkata +58 other locations
Capri Global Capital,3.6,1.8k,4.2k,NBFC | New Delhi +334 other locations
Honda Cars,4.3,1.8k,6.3k,Automobile | Bhiwadi +114 other locations
AkzoNobel,4.1,1.8k,4.4k,Chemicals | Pune +160 other locations
Haldiram Foods International Limited,3.8,1.8k,5.9k,FMCG | Nagpur +169 other locations
Sterling & Wilson,4.0,1.8k,6.6k,Engineering & Construction | Mumbai +131 other locations
DIVI'S Laboratories,3.6,1.8k,6.9k,Pharma | Visakhapatnam +37 other locations
Innovsource Services,3.9,1.8k,4.6k,Recruitment | Mumbai +252 other locations
Cafe Coffee Day,3.7,1.8k,3.8k,Hospitality | Bengaluru +104 other locations
Digit Insurance,3.7,1.8k,5.9k,Insurance | Bengaluru +89 other locations
MetLife,4.0,1.8k,9.4k,Insurance | Noida +44 other locations
Hindustan Petroleum,4.2,1.8k,6k,Oil & Gas | Mumbai +258 other locations
Stellar Migration,1.3,1.8k,--,Other | Dubai +7 other locations
Tata AutoComp Systems,3.7,3k,7k,Auto Components | Pune +47 other locations
SS&C TECHNOLOGIES,3.2,1.8k,13.5k,IT Services & Consulting | Mumbai +29 other locations
Tata Communications Transformation Services,3.8,1.8k,8.4k,Telecom | Pune +95 other locations
Reckitt Benckiser,4.0,1.8k,6.4k,FMCG | Gurugram +137 other locations
LivSpace,3.3,1.8k,8.1k,Architecture & Interior Design | Bengaluru +53 other locations
Isgec Heavy Engineering,3.8,1.8k,6.9k,Engineering & Construction | Noida +94 other locations
Air India,3.4,1.7k,8k,Aviation | New Delhi +67 other locations
USHA International,4.0,1.7k,4.8k,Consumer Electronics & Appliances | Gurugram +149 other locations
Adani Green Energy,3.9,1.8k,6k,Power | Ahmedabad +115 other locations
USV,4.0,1.7k,5.7k,Pharma | Mumbai +107 other locations
Kalyan Jewellers,4.4,1.7k,1.6k,Jewellery | Thrissur +159 other locations
HDFC Securities,3.4,1.7k,6.2k,Financial Services | Mumbai +185 other locations
BT Business,3.9,1.7k,9.3k,Telecom | Gurugram +13 other locations
XBP Global,3.2,1.7k,7.6k,Internet | Chennai +23 other locations
Security and Intelligence Services (India),4.0,1.7k,4.5k,Law Enforcement & Security | New Delhi +194 other locations
Pine Labs,3.3,1.7k,7.5k,FinTech | Noida +120 other locations
Rungta Mines,4.0,1.7k,5.6k,Metals & Mining | Chaibasa +58 other locations
Annapurna Finance,3.8,1.7k,3.8k,NBFC | Bhubaneswar +401 other locations
Vedantu,3.3,1.7k,8.1k,EdTech | Bengaluru +73 other locations
Future Retail,4.4,1.7k,3.7k,Retail | Mumbai +197 other locations
Orchids International School,3.9,1.7k,3.9k,Education & Training | Bengaluru +35 other locations
Dhani Loans and Services,3.9,1.7k,4.1k,NBFC | Gurugram +185 other locations
Bata,3.5,1.7k,4.2k,Fashion & Textile | Gurugram +149 other locations
BVG India,4.2,1.7k,4k,Facility Management Services | Pune +137 other locations
Granules India Limited,3.8,1.7k,6.4k,Pharma | Hyderabad +22 other locations
Metro Cash & Carry,4.0,1.7k,4.9k,Retail | Bengaluru +89 other locations
Mother Dairy Fruit & Vegetable,4.0,1.7k,5k,Food Processing | New Delhi +129 other locations
Orange Business,4.1,1.7k,9.1k,IT Services & Consulting | Gurugram +52 other locations
Hitachi Astemo,4.1,1.7k,6.4k,Auto Components | Neemrana +53 other locations
TTEC India,3.7,1.7k,5.4k,BPO | Ahmedabad +34 other locations
Cushman & Wakefield,4.1,1.7k,6.6k,Real Estate | Gurugram +44 other locations
FactSet,3.7,1.7k,10.7k,Analytics & KPO | Hyderabad +16 other locations
NEC,4.0,1.7k,5.5k,IT Services & Consulting | Noida +54 other locations
Indian Navy,4.6,1.7k,3.4k,Defence & Aerospace | Mumbai +75 other locations
Medanta the Medicity,4.0,1.7k,5.1k,Healthcare | Gurugram +50 other locations
Sysnet Global Technologies,3.7,1.7k,4.3k,IT Services & Consulting | New Delhi +154 other locations
Health Care Global Enterprises,4.4,1.7k,2.8k,Healthcare | Bengaluru +53 other locations
HighRadius,2.5,1.7k,9k,Software Product | Hyderabad +15 other locations
Caterpillar Inc,4.1,1.7k,11.2k,Industrial Machinery | Chennai +43 other locations
Cavinkare,3.9,1.7k,5k,FMCG | Chennai +171 other locations
IIFL SAMASTA,3.7,1.7k,3.3k,NBFC | Bengaluru +410 other locations
Frankfinn Institute of Air Hostess Training,3.9,1.7k,3.2k,Education & Training | Gurugram +61 other locations
KONE,4.1,1.7k,5.7k,Industrial Machinery | Chennai +73 other locations
MagicBricks,4.0,1.7k,4.6k,Internet | Noida +35 other locations
Yamaha Motor,4.1,1.6k,5.2k,Automobile | Chennai +154 other locations
L.G.Balakrishnan & Bros,3.5,1.6k,5.8k,Auto Components | Coimbatore +63 other locations
Rane (Madras),3.9,1.6k,4.9k,Auto Components | Chennai +58 other locations
NielsenIQ,3.5,1.6k,10.5k,Analytics & KPO | Chennai +54 other locations
Compass Group Support Services,4.0,1.6k,5.5k,Facility Management Services | Bengaluru +78 other locations
BA Continuum,3.9,1.6k,10.1k,IT Services & Consulting | Hyderabad +17 other locations
DHL Express,4.1,1.6k,6.1k,Logistics | Mumbai +89 other locations
JSW Bhushan Power & Steel,4.0,1.6k,4.9k,Iron & Steel | Jharsuguda +64 other locations
Patanjali Foods,3.7,1.6k,4.5k,FMCG | Haridwar +238 other locations
Clover Infotech,3.4,1.6k,12k,IT Services & Consulting | Mumbai +23 other locations
Tata 1mg,3.5,1.6k,7.1k,Internet | Gurugram +63 other locations
Vardhman Fabrics,4.0,1.6k,5.2k,Fashion & Textile | Baddi +65 other locations
ReNew,4.2,1.6k,6.2k,Power | Gurugram +105 other locations
CG Power and Industrial Solutions,3.8,1.6k,6.6k,Electrical Equipment | Bhopal +91 other locations
Procter & Gamble,4.0,1.6k,6k,FMCG | Mumbai +253 other locations
Matrimony.com,3.9,1.6k,4.4k,Internet | Chennai +63 other locations
Johnson & Johnson,3.9,1.6k,5.9k,Healthcare | Mumbai +169 other locations
Suryoday Small Finance Bank,4.0,1.6k,4.5k,Banking | Mumbai +232 other locations
Arvind Group,4.0,1.6k,5.3k,Fashion & Textile | Ahmedabad +91 other locations
Belrise Industries,3.7,1.6k,6.1k,Auto Components | Pune +56 other locations
Wipro Enterprises Ltd,3.8,1.6k,8.2k,FMCG | Bengaluru +121 other locations
Chegg,4.1,1.6k,3.9k,EdTech | New Delhi +78 other locations
CMA CGM,3.9,1.6k,7.9k,Ports & Shipping | Chennai +37 other locations
Toyota Kirloskar Motor,4.3,1.6k,4.6k,Automobile | Bengaluru +92 other locations
Krishna Maruti,3.8,1.6k,5.2k,Auto Components | Gurugram +52 other locations
Shriram Life Insurance,3.5,1.6k,4.8k,Insurance | Hyderabad +330 other locations
Goldman Sachs,3.4,1.6k,20.7k,Financial Services | Bengaluru +22 other locations
HERE Technologies,3.8,1.6k,7.8k,IT Services & Consulting | Mumbai +19 other locations
Tata Play,4.0,1.6k,4.7k,Broadcasting | Mumbai +222 other locations
Coronis Ajuba Solutions,4.0,1.6k,5.8k,BPO | Chennai +31 other locations
Hero Motors Company,3.9,1.6k,6.2k,Automobile | Ghaziabad +228 other locations
Marico,3.8,1.6k,5.8k,FMCG | Mumbai +185 other locations
Dixon Technologies,3.9,1.6k,5.8k,Electronics Manufacturing | Noida +46 other locations
Veritas Finance,4.3,1.6k,2.1k,NBFC | Chennai +299 other locations
Welspun Living Limited,3.9,1.6k,5.1k,Fashion & Textile | Anjar +86 other locations
Satin Creditcare Network,3.9,1.6k,3.1k,NBFC | Gurugram +330 other locations
Godrej Industries Group,3.9,1.6k,3k,Real Estate | Mumbai +149 other locations
Teva Pharmaceuticals,3.9,1.6k,5.7k,Pharma | Bengaluru +52 other locations
ZF Commercial Vehicle Control Systems,3.8,1.6k,3.8k,Auto Components | Chennai +49 other locations
Emami,3.8,1.6k,5.2k,FMCG | Kolkata +168 other locations
Sanofi,4.0,1.6k,5.8k,Pharma | Hyderabad +92 other locations
iOPEX Technologies,3.1,1.6k,6.1k,IT Services & Consulting | Chennai +15 other locations
Wockhardt,3.7,1.6k,4.1k,Pharma | Chhatrapati Sambhajinagar +83 other locations
PharmEasy,3.7,1.6k,6.5k,Internet | Bengaluru +69 other locations
Mercer,3.6,1.6k,10.1k,Management Consulting | New Delhi +17 other locations
Supreme Industries,4.0,1.6k,5.8k,Petrochemicals | Gwalior +124 other locations
Asahi India Glass,3.8,1.6k,5.3k,Auto Components | Chennai +89 other locations
Urban Company,3.3,1.6k,7k,Internet | Gurugram +59 other locations
Broadridge Financial Solutions,3.8,1.6k,11.1k,FinTech | Hyderabad +15 other locations
IFB,3.6,1.6k,5.3k,Consumer Electronics & Appliances | Bengaluru +178 other locations
Cemindia Projects,4.2,1.6k,3.2k,Engineering & Construction | Kolkata +88 other locations
IndiaFirst Life Insurance,3.8,1.6k,3.9k,Insurance | Mumbai +247 other locations
Relaxo Footwear,4.0,1.5k,4.5k,Fashion & Textile | New Delhi +159 other locations
KFC,4.0,1.5k,3.1k,Hospitality | New Delhi +173 other locations
Marriott International,4.1,1.5k,4.7k,Hospitality | Bengaluru +91 other locations
Kotak Mahindra Prime,3.9,1.5k,5k,NBFC | Mumbai +176 other locations
Honda,4.1,1.5k,3.9k,Automobile | Gurugram +228 other locations
Amul India,4.0,1.5k,4.2k,Food Processing | Ahmedabad +206 other locations
Gujarat Fluorochemicals,3.9,1.5k,6.7k,Chemicals | Bharuch +31 other locations
Bajaj Capital,3.6,1.5k,3.7k,Financial Services | New Delhi +171 other locations
American Broadcasting Company,4.0,1.5k,35.6k,Engineering & Construction | Bengaluru +98 other locations
Lumax Industries,3.9,1.5k,5.7k,Auto Components | Gurugram +41 other locations
Muthoot Microfin,4.2,1.5k,2.5k,NBFC | Kochi +414 other locations
Dainik Bhaskar Group,4.1,1.5k,4.3k,Printing & Publishing | Bhopal +136 other locations
Nayara Energy,4.1,1.5k,6k,Oil & Gas | Jamnagar +98 other locations
